ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340565,HP415453,6/25/2008 14:15,052XX N NAGLE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1622,16,45,11,18,1132573,1934639,2008,2/4/2016 6:33,41.9768849,-87.78785077,"(41.9768849, -87.787850773)"
6340568,HP428422,7/2/2008 4:52,055XX W VAN BUREN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1522,15,29,25,08B,1139662,1897467,2008,2/4/2016 6:33,41.87475411,-87.76269074,"(41.87475411, -87.762690738)"
6340569,HP427324,7/1/2008 15:50,002XX W JACKSON BLVD,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,112,1,2,32,6,1174674,1898951,2008,2/4/2016 6:33,41.87811561,-87.63409749,"(41.878115609, -87.634097494)"
6340570,HP426272,7/1/2008 2:00,021XX N MAJOR AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2515,25,29,19,26,1138052,1913387,2008,2/4/2016 6:33,41.91846979,-87.76821706,"(41.918469789, -87.768217057)"
6340571,HP428189,7/1/2008 22:45,059XX S ABERDEEN ST,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,712,7,16,68,3,1169999,1865392,2008,2/4/2016 6:33,41.78612978,-87.65223985,"(41.786129784, -87.652239848)"
6340573,HP427155,7/1/2008 14:10,075XX N HOYNE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,2424,24,49,1,26,1160972,1949967,2008,2/4/2016 6:33,42.01840169,-87.68298658,"(42.018401693, -87.682986576)"
6340576,HP415736,6/25/2008 16:45,072XX S JEFFERY BLVD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,TRUE,FALSE,333,3,5,43,14,1190794,1857482,2008,2/4/2016 6:33,41.76394681,-87.57625138,"(41.763946811, -87.576251377)"
6340577,HP427941,7/1/2008 21:10,082XX S BURLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,424,4,7,46,08B,1199249,1850766,2008,2/4/2016 6:33,41.74530928,-87.54548797,"(41.745309277, -87.545487967)"
6340583,HP423870,6/29/2008 20:48,117XX S MICHIGAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,532,5,9,53,18,1178950,1826960,2008,2/4/2016 6:33,41.68046838,-87.62058813,"(41.680468383, -87.620588133)"
6340584,HP423828,6/29/2008 19:45,023XX W 68TH ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,832,8,17,66,3,1161748,1859506,2008,2/4/2016 6:33,41.77015317,-87.6826555,"(41.770153165, -87.682655498)"
6340585,HP425918,6/30/2008 19:28,062XX S WESTERN AVE,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,STREET,TRUE,FALSE,825,8,15,66,22,1161446,1863118,2008,2/4/2016 6:33,41.78007126,-87.68366249,"(41.780071261, -87.683662489)"
6340586,HP423996,6/29/2008 21:48,075XX N OAKLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,2411,24,49,2,08B,1159680,1949907,2008,2/4/2016 6:33,42.01826389,-87.68774258,"(42.018263891, -87.68774258)"
6340587,HP420805,6/28/2008 5:30,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,FALSE,FALSE,1651,16,41,76,26,1100658,1934241,2008,2/4/2016 6:33,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
